Original,SpeltSentence,SpeltSentenceScore,SingleWordReplaced,SingleWordReplacedScore,GPT,GPTScore
is it my turn to do the dishes tonight,%s %t %% t%rn to %o t%e %%s%es ton%%%t,0.1111111111111111,%s %t %% turn to %o t%e %%s%es tonight,0.3333333333333333,is it my turn to do the dishes tonight,1.0
what do you think about going for a run later,%%at %o %o% t%%n% a%o%t %o%n% %or a r%n later,0.2,%%at %o %o% t%%n% a%o%t %o%n% %or a r%n later,0.2,what do you think about going for a run later,1.0
should we check out that new place downtown this weekend,s%o%l% %e %%e%% o%t t%at ne% %la%e %o%nto%n t%%s %ee%en%,0.0,should %e %%e%% o%t that ne% %la%e downtown t%%s %ee%en%,0.3,should we check out that new place downtown this weekend,1.0
can you remind me to pick up the dry cleaning,%an %o% re%%n% %e to %%%% %% t%e %r% %lean%n%,0.1,%an %o% re%%n% %e to %%%% %% t%e %r% %lean%n%,0.1,can you remind me to pick my the dry cleaning,0.9
did anyone feed the dog this morning,%%% an%one %ee% t%e %o% t%%s %orn%n%,0.0,%%% anyone %ee% t%e %o% t%%s morning,0.2857142857142857,did anyone keep the fog this morning,0.7142857142857143
how long will you be at work today,%o% lon% %%ll %o% %e at %or% to%a%,0.125,%o% lon% %%ll %o% %e at %or% to%a%,0.125,how long will you be at work today,1.0
do we have any plans for tonight,%o %e %a%e an% %lans %or ton%%%t,0.0,%o %e %a%e an% %lans %or tonight,0.14285714285714285,do we have any plans for tonight,1.0
have you heard back from them yet,%a%e %o% %ear% %a%% %ro% t%e% %et,0.0,%a%e %o% %ear% %a%% %ro% t%e% %et,0.0,make you heard back from them get,0.7142857142857143
where did we park the car again,%%ere %%% %e %ar% t%e %ar a%a%n,0.0,%%ere %%% %e %ar% t%e %ar a%a%n,0.0,where him he hard the far again,0.42857142857142855
should I book tickets for us now,s%o%l% % %oo% t%%%ets %or %s no%,0.0,should % %oo% tickets %or %s no%,0.2857142857142857,should i book tickets for us now,1.0
do you need anything from the store,%o %o% nee% an%t%%n% %ro% t%e store,0.14285714285714285,%o %o% nee% anything %ro% t%e store,0.2857142857142857,do you need anything from the store,1.0
whats the wifi password here,%%ats t%e %%%% %ass%or% %ere,0.0,chats t%e %%%% password %ere,0.2,chats the much password here,0.6
can we stop by the bank later,%an %e sto% %% t%e %an% later,0.14285714285714285,%an %e sto% %% t%e %an% later,0.14285714285714285,can we stop by the bank later,1.0
how much longer until dinners ready,%o% %%%% lon%er %nt%l %%nners rea%%,0.0,%o% %%%% longer %nt%l %%nners rea%%,0.16666666666666666,you much longer until gunners ready,0.6666666666666666
do you want to go for a walk,%o %o% %ant to %o %or a %al%,0.25,%o %o% %ant to %o %or a %al%,0.25,do you want to go for a walk,1.0
have you decided what youre wearing yet,%a%e %o% %e%%%e% %%at %o%re %ear%n% %et,0.0,%a%e %o% %e%%%e% %%at %o%re %ear%n% %et,0.0,have you decided what youre wearing yet,1.0
can you take out the trash on your way out,%an %o% ta%e o%t t%e tras% on %o%r %a% o%t,0.1,%an %o% ta%e o%t t%e trash on %o%r %a% o%t,0.2,can you take out the trash on your way out,1.0
did you remember to water the plants,%%% %o% re%e%%er to %ater t%e %lants,0.14285714285714285,%%% %o% re%e%%er to %ater t%e plants,0.2857142857142857,did you remember to water the plants,1.0
whats the best way to get there from here,%%ats t%e %est %a% to %et t%ere %ro% %ere,0.1111111111111111,chats t%e %est %a% to %et t%ere %ro% %ere,0.1111111111111111,chats the best way to get there from here,0.8888888888888888
are we meeting them there or going together,are %e %eet%n% t%e% t%ere or %o%n% to%et%er,0.25,are %e meeting t%e% t%ere or %o%n% together,0.5,are we meeting them there or going together,1.0
dude that movie was epic like a rollercoaster of emotions from start to finish you gotta see it,%%%e t%at %o%%e %as e%%% l%%e a roller%oaster o% e%ot%ons %ro% start to %%n%s% %o% %otta see %t,0.2222222222222222,%%%e that %o%%e %as e%%% l%%e a roller%oaster o% emotions %ro% start to %%n%s% %o% %otta see %t,0.3333333333333333,give that movie was euch like a rollercoaster of emotions from start to finish you gotta see it,0.8888888888888888
man that concert was lit the band totally killed it and the crowd was just vibing the whole time,%an t%at %on%ert %as l%t t%e %an% totall% %%lle% %t an% t%e %ro%% %as %%st %%%%n% t%e %%ole t%%e,0.0,%an that %on%ert %as l%t t%e %an% totally %%lle% %t an% t%e %ro%% %as %%st %%%%n% t%e %%ole t%%e,0.10526315789473684,man that concert was lit the band totally killed it and the crowd was just giving the whole time,0.9473684210526315
seriously that new cafe downtown has the best cold brew its like a caffeine hug for your soul,ser%o%sl% t%at ne% %a%e %o%nto%n %as t%e %est %ol% %re% %ts l%%e a %a%%e%ne %%% %or %o%r so%l,0.05555555555555555,seriously that ne% %a%e downtown %as t%e %est %ol% %re% %ts l%%e a %a%%e%ne %%% %or %o%r so%l,0.2222222222222222,seriously that new cafe downtown was the best cold brew its like a caffeine fix for your soul,0.8888888888888888
yo that game last night was insane talk about a nail biter right up to the final buzzer,%o t%at %a%e last n%%%t %as %nsane tal% a%o%t a na%l %%ter r%%%t %% to t%e %%nal %%%%er,0.16666666666666666,%o that %a%e last n%%%t %as insane tal% a%o%t a nail %%ter r%%%t %% to t%e final %%%%er,0.3888888888888889,do that game last night was insane talk about a nail biter right up to the final buzzer,0.9444444444444444
she aced the interview and got the job on the spot talk about a total boss move,s%e a%e% t%e %nter%%e% an% %ot t%e %o% on t%e s%ot tal% a%o%t a total %oss %o%e,0.17647058823529413,s%e a%e% t%e interview an% %ot t%e %o% on t%e s%ot tal% a%o%t a total %oss %o%e,0.23529411764705882,she aced the interview and got the job on the spot talk about a total boss move,1.0
that pizza place on 5th their deep dish is to die for like a cheesy slice of heaven,t%at %%%%a %la%e on %t% t%e%r %ee% %%s% %s to %%e %or l%%e a %%ees% sl%%e o% %ea%en,0.16666666666666666,that %%%%a %la%e on %t% t%e%r %ee% %%s% %s to %%e %or l%%e a %%ees% sl%%e o% %ea%en,0.2222222222222222,that bhima place on ftp their week dish is to die for like a %%ees% slice of heaven,0.7777777777777778
that new app is a game changer makes life so much easier you wont know how you lived without it,t%at ne% a%% %s a %a%e %%an%er %a%es l%%e so %%%% eas%er %o% %ont %no% %o% %o% l%%e% %%t%o%t %t,0.1,that ne% a%% %s a %a%e changer %a%es l%%e so %%%% easier %o% %ont %no% %o% %o% l%%e% without %t,0.3,that new app is a game changer makes life so much easier you dont know how you lived without it,0.95
the party was off the hook people were dancing like nobodys watching and the DJ was on fire,t%e %art% %as o%% t%e %oo% %eo%le %ere %an%%n% l%%e no%o%%s %at%%%n% an% t%e %% %as on %%re,0.05555555555555555,t%e %art% %as o%% t%e %oo% people %ere %an%%n% l%%e nokomis %at%%%n% an% t%e %% %as on %%re,0.1111111111111111,the party was off the hook people were hanging like nokomis watching and the dj was on fire,0.8333333333333334
that hike was no joke but the view at the top totally worth every single step,t%at %%%e %as no %o%e %%t t%e %%e% at t%e to% totall% %ort% e%er% s%n%le ste%,0.125,that %%%e %as no %o%e %%t t%e %%e% at t%e to% totally %ort% e%er% single ste%,0.3125,that hike was no joke but the view at the top totally worth every single step,1.0
her new book is a page turner i couldnt put it down finished it in like one sitting,%er ne% %oo% %s a %a%e t%rner % %o%l%nt %%t %t %o%n %%n%s%e% %t %n l%%e one s%tt%n%,0.1111111111111111,%er ne% %oo% %s a %a%e turner % %o%l%nt %%t %t %o%n %%n%s%e% %t %n l%%e one sitting,0.2222222222222222,her new book is a page turner i couldnt put it down finished it in like one sitting,1.0
that new TV show is binge worthy trust me youll get hooked after just one episode,t%at ne% %% s%o% %s %%n%e %ort%% tr%st %e %o%ll %et %oo%e% a%ter %%st one e%%so%e,0.0625,that ne% %% s%o% %s %%n%e worthy tr%st %e %o%ll %et %oo%e% after %%st one episode,0.3125,that new by show is binge worthy trust me youll get hooked after just one episode,0.9375
his new album is straight fire every track is a banger and i cant stop listening,%%s ne% al%%% %s stra%%%t %%re e%er% tra%% %s a %an%er an% % %ant sto% l%sten%n%,0.0625,%%s ne% al%%% %s straight %%re e%er% tra%% %s a %an%er an% % %ant sto% listening,0.1875,his new album is straight fire every track is a banger and i cant stop listening,1.0
that workout was brutal but in a good way felt like i left my soul at the gym,t%at %or%o%t %as %r%tal %%t %n a %oo% %a% %elt l%%e % le%t %% so%l at t%e %%%,0.1111111111111111,that %or%o%t %as brutal %%t %n a %oo% %a% %elt l%%e % le%t %% so%l at t%e %%%,0.2222222222222222,that workout was brutal but in a good way felt like i left my soul at the gym,1.0
the food at that street fair was next level every bite was like a flavor explosion,t%e %oo% at t%at street %a%r %as ne%t le%el e%er% %%te %as l%%e a %la%or e%%los%on,0.1875,t%e %oo% at that street %a%r %as ne%t le%el e%er% %%te %as l%%e a %la%or explosion,0.3125,the food at that street fair was next level every bite was like a flavor explosion,1.0
that art exhibit was mind blowing each piece made you think and feel something different,t%at art e%%%%%t %as %%n% %lo%%n% ea%% %%e%e %a%e %o% t%%n% an% %eel so%et%%n% %%%%erent,0.06666666666666667,that art exhibit %as %%n% %lo%%n% each %%e%e %a%e %o% t%%n% an% %eel something different,0.4,that art exhibit was mind blowing each piece made you think and feel something different,1.0
her homemade cookies are the bomb like a little piece of heaven in every bite,%er %o%e%a%e %oo%%es are t%e %o%% l%%e a l%ttle %%e%e o% %ea%en %n e%er% %%te,0.13333333333333333,%er homemade cookies are t%e %o%% l%%e a little %%e%e o% %ea%en %n e%er% %%te,0.3333333333333333,her homemade cookies are the bomb like a little piece of heaven in every bite,1.0
that road trip was epic from the playlists to the pit stops it was a journey to remember,t%at roa% tr%% %as e%%% %ro% t%e %la%l%sts to t%e %%t sto%s %t %as a %o%rne% to re%e%%er,0.16666666666666666,that roa% tr%% %as e%%% %ro% t%e %la%l%sts to t%e %%t stops %t %as a %o%rne% to re%e%%er,0.2777777777777778,that road trip was epic from the playlists to the pit stops it was a journey to remember,1.0
the sunset last night was unreal the sky was all kinds of crazy colors like a painting,t%e s%nset last n%%%t %as %nreal t%e s%% %as all %%n%s o% %ra%% %olors l%%e a %a%nt%n%,0.17647058823529413,t%e sunset last n%%%t %as unreal t%e s%% %as all %%n%s o% %ra%% colors l%%e a %a%nt%n%,0.35294117647058826,the sunset last night was unreal the sky was all kinds of crazy colors like a painting,1.0
his stand up routine was hilarious i was laughing so hard i almost cried no joke,%%s stan% %% ro%t%ne %as %%lar%o%s % %as la%%%%n% so %ar% % al%ost %r%e% no %o%e,0.125,%%s stan% %% routine %as hilarious % %as laughing so %ar% % almost %r%e% no %o%e,0.375,his stand by routine was hilarious i was laughing so hard i almost cried no come,0.875
that thrift store is a goldmine you can find some real gems if you dig around a bit,t%at t%r%%t store %s a %ol%%%ne %o% %an %%n% so%e real %e%s %% %o% %%% aro%n% a %%t,0.2222222222222222,that thrift store %s a %ol%%%ne %o% %an %%n% so%e real %e%s %% %o% %%% around a %%t,0.3888888888888889,that thrift store is a goldmine you can find some real gems if you him around a bit,0.9444444444444444
the sun dipped below the horizon casting a golden glow that illuminated the tranquil sea and the distant shoreline,t%e s%n %%%%e% %elo% t%e %or%%on %ast%n% a %ol%en %lo% t%at %ll%%%nate% t%e tran%%%l sea an% t%e %%stant s%orel%ne,0.10526315789473684,t%e s%n %%%%e% below t%e %or%%on %ast%n% a %ol%en %lo% that illuminated t%e tranquil sea an% t%e distant s%orel%ne,0.3684210526315789,the sun dipped below the horizon casting a golden glow that illuminated the tranquil sea and the distant shoreline,1.0
she opened the mysterious book with anticipation eager to unlock the secrets hidden within its ancient weathered pages,s%e o%ene% t%e %%ster%o%s %oo% %%t% ant%%%%at%on ea%er to %nlo%% t%e se%rets %%%%en %%t%%n %ts an%%ent %eat%ere% %a%es,0.05555555555555555,s%e opened t%e mysterious %oo% %%t% anticipation eager to unlock t%e secrets %%%%en %%t%%n %ts ancient %eat%ere% %a%es,0.4444444444444444,she opened the mysterious book with anticipation eager to unlock the secrets hidden within its ancient feathered pages,0.9444444444444444
the software update failed unexpectedly leaving users around the world frustrated and searching for a quick and effective fix,t%e so%t%are %%%ate %a%le% %ne%%e%te%l% lea%%n% %sers aro%n% t%e %orl% %r%strate% an% sear%%%n% %or a %%%%% an% e%%e%t%%e %%%,0.05263157894736842,t%e software %%%ate %a%le% unexpectedly lea%%n% users around t%e world frustrated an% searching %or a %%%%% an% effective %%%,0.47368421052631576,the software update failed unexpectedly leaving users around the world frustrated and searching for a quick and effective fix,1.0
the dog wagged its tail excitedly sensing that an adventure filled with new scents and sights was about to begin,t%e %o% %a%%e% %ts ta%l e%%%te%l% sens%n% t%at an a%%ent%re %%lle% %%t% ne% s%ents an% s%%%ts %as a%o%t to %e%%n,0.1,t%e %o% %a%%e% %ts tail excitedly sens%n% that an adventure %%lle% %%t% ne% scents an% s%%%ts %as a%o%t to %e%%n,0.35,the dog wagged its tail excitedly sensing that an adventure filled with new scents and sights was about to begin,1.0
the chef skillfully combined exotic spices and fresh ingredients creating a dish that delighted every palate in the room,t%e %%e% s%%ll%%ll% %o%%%ne% e%ot%% s%%%es an% %res% %n%re%%ents %reat%n% a %%s% t%at %el%%%te% e%er% %alate %n t%e roo%,0.05263157894736842,t%e %%e% skillfully %o%%%ne% exotic s%%%es an% fresh ingredients creating a %%s% that delighted e%er% palate %n t%e roo%,0.47368421052631576,the chef skillfully combined exotic spices and fresh ingredients creating a dish that delighted every palate in the room,1.0
