Original,SpeltSentence,SpeltSentenceScore,SingleWordReplaced,SingleWordReplacedScore,GPT,GPTScore
is it my turn to do the dishes tonight,is it %% t%rn to %o t%e %is%es toni%%t,0.3333333333333333,is it %% turn to %o the %is%es tonight,0.6666666666666666,is it my turn to do the dishes tonight,1.0
what do you think about going for a run later,%%at %o %o% t%in% a%o%t %oin% %or a r%n later,0.2,%%at %o %o% t%in% a%o%t %oin% %or a run later,0.3,what do you think about going for a run later,1.0
should we check out that new place downtown this weekend,s%o%l% %e %%e%% o%t t%at ne% %la%e %o%nto%n t%is %ee%en%,0.0,should %e %%e%% o%t that ne% %la%e downtown this %ee%en%,0.4,should we check out that new place downtown this weekend,1.0
can you remind me to pick up the dry cleaning,%an %o% re%in% %e to %i%% %% t%e %r% %leanin%,0.1,%an %o% remind %e to %i%% %% the %r% %leanin%,0.3,can you remind me to pick up the dry cleaning,1.0
did anyone feed the dog this morning,%i% an%one %ee% t%e %o% t%is %ornin%,0.0,%i% anyone %ee% the %o% this morning,0.5714285714285714,him anyone keep the you this morning,0.5714285714285714
how long will you be at work today,%o% lon% %ill %o% %e at %or% to%a%,0.125,%o% lon% %ill %o% %e at %or% to%a%,0.125,how long will you be at work today,1.0
do we have any plans for tonight,%o %e %a%e an% %lans %or toni%%t,0.0,%o %e %a%e an% %lans %or tonight,0.14285714285714285,do we have any plans for tonight,1.0
have you heard back from them yet,%a%e %o% %ear% %a%% %ro% t%e% %et,0.0,%a%e %o% %ear% %a%% %ro% t%e% %et,0.0,have you heard back from them yet,1.0
where did we park the car again,%%ere %i% %e %ar% t%e %ar a%ain,0.0,%%ere %i% %e %ar% the %ar a%ain,0.14285714285714285,where did we park the car again,1.0
should I book tickets for us now,s%o%l% % %oo% ti%%ets %or %s no%,0.0,should % %oo% tickets %or %s no%,0.2857142857142857,should % book tickets for us now,0.8571428571428571
do you need anything from the store,%o %o% nee% an%t%in% %ro% t%e store,0.14285714285714285,%o %o% nee% anything %ro% the store,0.42857142857142855,do you need anything from the store,1.0
whats the wifi password here,%%ats t%e %i%i %ass%or% %ere,0.0,chats the %i%i password %ere,0.4,chats the wifi password here,0.8
can we stop by the bank later,%an %e sto% %% t%e %an% later,0.14285714285714285,%an %e sto% %% the %an% later,0.2857142857142857,can we stop by the bank later,1.0
how much longer until dinners ready,%o% %%%% lon%er %ntil %inners rea%%,0.0,%o% %%%% longer until %inners rea%%,0.3333333333333333,how much longer until dinners ready,1.0
do you want to go for a walk,%o %o% %ant to %o %or a %al%,0.25,%o %o% %ant to %o %or a %al%,0.25,do you want to go for a walk,1.0
have you decided what youre wearing yet,%a%e %o% %e%i%e% %%at %o%re %earin% %et,0.0,%a%e %o% decided %%at %o%re %earin% %et,0.14285714285714285,have you decided what youre wearing yet,1.0
can you take out the trash on your way out,%an %o% ta%e o%t t%e tras% on %o%r %a% o%t,0.1,%an %o% ta%e o%t the trash on %o%r %a% o%t,0.3,can you take out the trash on your way out,1.0
did you remember to water the plants,%i% %o% re%e%%er to %ater t%e %lants,0.14285714285714285,%i% %o% remember to %ater the plants,0.5714285714285714,did you remember to water the plants,1.0
whats the best way to get there from here,%%ats t%e %est %a% to %et t%ere %ro% %ere,0.1111111111111111,chats the %est %a% to %et t%ere %ro% %ere,0.2222222222222222,chats the best way to get there from here,0.8888888888888888
are we meeting them there or going together,are %e %eetin% t%e% t%ere or %oin% to%et%er,0.25,are %e meeting t%e% t%ere or %oin% together,0.5,are we meeting they there or going together,0.875
dude that movie was epic like a rollercoaster of emotions from start to finish you gotta see it,%%%e t%at %o%ie %as e%i% li%e a roller%oaster o% e%otions %ro% start to %inis% %o% %otta see it,0.2777777777777778,%%%e that %o%ie %as e%i% li%e a roller%oaster o% emotions %ro% start to finish %o% %otta see it,0.4444444444444444,duke that movie has epic like a rollercoaster of emotions from start to finish you gotta see it,0.8888888888888888
man that concert was lit the band totally killed it and the crowd was just vibing the whole time,%an t%at %on%ert %as lit t%e %an% totall% %ille% it an% t%e %ro%% %as %%st %i%in% t%e %%ole ti%e,0.10526315789473684,%an that %on%ert %as lit the %an% totally %ille% it an% the %ro%% %as %%st %i%in% the %%ole ti%e,0.3684210526315789,can that concert was lit the band totally killed it and the crowd was just giving the whole time,0.8947368421052632
seriously that new cafe downtown has the best cold brew its like a caffeine hug for your soul,serio%sl% t%at ne% %a%e %o%nto%n %as t%e %est %ol% %re% its li%e a %a%%eine %%% %or %o%r so%l,0.1111111111111111,seriously that ne% %a%e downtown %as the %est %ol% %re% its li%e a %a%%eine %%% %or %o%r so%l,0.3333333333333333,seriously that new game downtown has the best hold drew its like a caffeine why for your soul,0.7777777777777778
yo that game last night was insane talk about a nail biter right up to the final buzzer,%o t%at %a%e last ni%%t %as insane tal% a%o%t a nail %iter ri%%t %% to t%e %inal %%%%er,0.2777777777777778,%o that %a%e last ni%%t %as insane talk a%o%t a nail citer ri%%t %% to the final %%%%er,0.5,do that have last night was insane talk about a nail citer right up to the final buzzer,0.8333333333333334
she aced the interview and got the job on the spot talk about a total boss move,s%e a%e% t%e inter%ie% an% %ot t%e %o% on t%e s%ot tal% a%o%t a total %oss %o%e,0.17647058823529413,s%e a%e% the interview an% %ot the %o% on the s%ot talk a%o%t a total %oss %o%e,0.47058823529411764,she aced the interview and got the job on the spot talk about a total boss move,1.0
that pizza place on 5th their deep dish is to die for like a cheesy slice of heaven,t%at %i%%a %la%e on %t% t%eir %ee% %is% is to %ie %or li%e a %%ees% sli%e o% %ea%en,0.2222222222222222,that %i%%a %la%e on ftp their %ee% %is% is to %ie %or li%e a %%ees% sli%e o% %ea%en,0.3333333333333333,that dicha place on ftp their keep wish is to vie for life a %%ees% slice of heaven,0.6111111111111112
that new app is a game changer makes life so much easier you wont know how you lived without it,t%at ne% a%% is a %a%e %%an%er %a%es li%e so %%%% easier %o% %ont %no% %o% %o% li%e% %it%o%t it,0.25,that ne% a%% is a %a%e changer %a%es li%e so %%%% easier %o% %ont %no% %o% %o% li%e% without it,0.4,that new app is a game changer makes life so much easier you dont know how you lived without it,0.95
the party was off the hook people were dancing like nobodys watching and the DJ was on fire,t%e %art% %as o%% t%e %oo% %eo%le %ere %an%in% li%e no%o%%s %at%%in% an% t%e %% %as on %ire,0.05555555555555555,the %art% %as o%% the %oo% people %ere %an%in% li%e no%o%%s %at%%in% an% the %% %as on %ire,0.2777777777777778,the party was off the hook people were dancing like nobodys watching and the by was on fire,0.9444444444444444
that hike was no joke but the view at the top totally worth every single step,t%at %i%e %as no %o%e %%t t%e %ie% at t%e to% totall% %ort% e%er% sin%le ste%,0.125,that %i%e %as no %o%e %%t the %ie% at the to% totally %ort% e%er% single ste%,0.4375,that hike was no joke but the view at the top totally worth every single step,1.0
her new book is a page turner i couldnt put it down finished it in like one sitting,%er ne% %oo% is a %a%e t%rner i %o%l%nt %%t it %o%n %inis%e% it in li%e one sittin%,0.3888888888888889,%er ne% %oo% is a %a%e turner i %o%l%nt %%t it %o%n finished it in li%e one sitting,0.5555555555555556,her new book is a page turner i couldnt put it down finished it in like one sitting,1.0
that new TV show is binge worthy trust me youll get hooked after just one episode,t%at ne% %% s%o% is %in%e %ort%% tr%st %e %o%ll %et %oo%e% a%ter %%st one e%iso%e,0.125,that ne% %% s%o% is %in%e worthy tr%st %e %o%ll %et %oo%e% after %%st one episode,0.375,that new by show is binge worthy trust me youll get hooked after just one episode,0.9375
his new album is straight fire every track is a banger and i cant stop listening,%is ne% al%%% is strai%%t %ire e%er% tra%% is a %an%er an% i %ant sto% listenin%,0.25,%is ne% album is straight %ire e%er% tra%% is a %an%er an% i %ant sto% listening,0.4375,his new album is straight fire every track is a banger and i cant stop listening,1.0
that workout was brutal but in a good way felt like i left my soul at the gym,t%at %or%o%t %as %r%tal %%t in a %oo% %a% %elt li%e i le%t %% so%l at t%e %%%,0.2222222222222222,that %or%o%t %as brutal %%t in a %oo% %a% %elt li%e i le%t %% so%l at the %%%,0.3888888888888889,that workout was brutal but in a good way felt like i left my soul at the gym,1.0
the food at that street fair was next level every bite was like a flavor explosion,t%e %oo% at t%at street %air %as ne%t le%el e%er% %ite %as li%e a %la%or e%%losion,0.1875,the %oo% at that street %air %as ne%t le%el e%er% %ite %as li%e a %la%or explosion,0.375,the food at that street fair has next level every bite has like a flavor explosion,0.875
