Original,SpeltSentence,SpeltSentenceScore,SingleWordReplaced,SingleWordReplacedScore,GPT,GPTScore
the sun dipped below the horizon casting a golden glow that illuminated the tranquil sea and the distant shoreline,t%e s%n %i%%e% %elo% t%e %ori%on %astin% a %ol%en %lo% t%at ill%%inate% t%e tran%%il sea an% t%e %istant s%oreline,0.105263158,the s%n %i%%e% below the horizon %astin% a %ol%en %lo% that illuminated the tranquil sea an% the distant s%oreline,0.631578947,the sun dipped below the horizon casting a golden glow that illuminated the tranquil sea and the distant shoreline,1
she opened the mysterious book with anticipation eager to unlock the secrets hidden within its ancient weathered pages,s%e o%ene% t%e %%sterio%s %oo% %it% anti%i%ation ea%er to %nlo%% t%e se%rets %i%%en %it%in its an%ient %eat%ere% %a%es,0.111111111,s%e opened the mysterious %oo% %it% anticipation eager to unlock the secrets %i%%en %it%in its ancient %eat%ere% %a%es,0.611111111,she opened the mysterious book with anticipation eager to unlock the secrets hidden within its ancient feathered pages,0.944444444
the software update failed unexpectedly leaving users around the world frustrated and searching for a quick and effective fix,t%e so%t%are %%%ate %aile% %ne%%e%te%l% lea%in% %sers aro%n% t%e %orl% %r%strate% an% sear%%in% %or a %%i%% an% e%%e%ti%e %i%,0.052631579,the software %%%ate %aile% unexpectedly lea%in% users around the world frustrated an% searching %or a %%i%% an% effective %i%,0.578947368,the software update failed unexpectedly leaving users around the world frustrated and searching for a quick and effective fix,1
the dog wagged its tail excitedly sensing that an adventure filled with new scents and sights was about to begin,t%e %o% %a%%e% its tail e%%ite%l% sensin% t%at an a%%ent%re %ille% %it% ne% s%ents an% si%%ts %as a%o%t to %e%in,0.2,the %o% %a%%e% its tail excitedly sensin% that an adventure %ille% %it% ne% scents an% sights %as a%o%t to %e%in,0.5,the dog wagged its tail excitedly sensing that an adventure filled with new scents and sights was about to begin,1
the chef skillfully combined exotic spices and fresh ingredients creating a dish that delighted every palate in the room,t%e %%e% s%ill%%ll% %o%%ine% e%oti% s%i%es an% %res% in%re%ients %reatin% a %is% t%at %eli%%te% e%er% %alate in t%e roo%,0.105263158,the %%e% skillfully combined exotic s%i%es an% fresh ingredients creating a %is% that delighted e%er% palate in the roo%,0.684210526,the chef skillfully combined exotic spices and fresh ingredients creating a dish that delighted every palate in the room,1
the artist stared intently at the blank canvas contemplating the masterpiece he would create with each stroke of the brush,t%e artist stare% intentl% at t%e %lan% %an%as %onte%%latin% t%e %aster%ie%e %e %o%l% %reate %it% ea%% stro%e o% t%e %r%s%,0.1,the artist stared intently at the %lan% canvas contemplating the masterpiece %e %o%l% %reate %it% each stro%e o% the %r%s%,0.6,the artist stared intently at the blank canvas contemplating the masterpiece he would create with each stroke of the brush,1
the scientist meticulously recorded data and observations hoping to make a groundbreaking discovery that would change the field forever,t%e s%ientist %eti%%lo%sl% re%or%e% %ata an% o%ser%ations %o%in% to %a%e a %ro%n%%rea%in% %is%o%er% t%at %o%l% %%an%e t%e %iel% %ore%er,0.105263158,the scientist %eti%%lo%sl% re%or%e% %ata an% observations %o%in% to %a%e a %ro%n%%rea%in% discovery that %o%l% %%an%e the %iel% forever,0.473684211,the scientist meticulously recorded data and observations hoping to make a groundbreaking discovery that could change the field forever,0.947368421
the teachers words inspired the students igniting a newfound passion for lifelong learning and intellectual curiosity,t%e tea%%ers %or%s ins%ire% t%e st%%ents i%nitin% a ne%%o%n% %assion %or li%elon% learnin% an% intelle%t%al %%riosit%,0.0625,the teachers %or%s inspired the students i%nitin% a ne%%o%n% passion %or li%elon% learning an% intellectual curiosity,0.625,the teachers words inspired the students igniting a newfound passion for lifelong learning and intellectual curiosity,1
the athlete sprinted towards the finish line fueled by sheer determination willpower and years of rigorous training,t%e at%lete s%rinte% to%ar%s t%e %inis% line %%ele% %% s%eer %eter%ination %ill%o%er an% %ears o% ri%oro%s trainin%,0.058823529,the athlete s%rinte% towards the finish line %%ele% %% sheer determination %ill%o%er an% %ears o% rigorous training,0.588235294,the athlete sprinted towards the finish line %%ele% by sheer determination willpower and years of rigorous training,0.941176471
the musician strummed the guitar with finesse evoking emotions that words alone could not express or capture,t%e %%si%ian str%%%e% t%e %%itar %it% %inesse e%o%in% e%otions t%at %or%s alone %o%l% not e%%ress or %a%t%re,0.176470588,the musician str%%%e% the guitar %it% finesse evoking emotions that %or%s alone %o%l% not e%%ress or capture,0.705882353,the musician strummed the guitar with finesse evoking emotions that words alone could not express or capture,1
